method,Intercept,# Days,Mfr B,Conclusion
ASTM,341146.8680636926,0.6071612016456958,0.7867325069829826,8.488742515731337e-7
RF,21309918.619641595,0.4926737768212429,0.6520579561332183,2.423794553360191e-8
