method,Intercept,# Days,Mfr B,Score
ASTM,-5.879726652267318,-0.05299497207170672,-0.35223125204340877,1.6217794416167144
RF,6.443469337521372,-0.07439438082269205,-0.60729505746817,-10.214728378504406
