method,Intercept,# Days,Mfr B,Conclusion
ASTM,12.740068361675831,-0.4989609521001723,-0.23986697781549793,-13.979354775181955
RF,16.874683185186306,-0.707908034268074,-0.4276218312310714,-17.535346434551666
